Account Solana;Token Account Solana;HolderAddress BSC;Balance;Balance Decimals;Public Tag;Owner;
;;0xe41b3ced4fa5489cb4c34122b27a4e8056a64ed5;100.923;100.922.750.000.000.000.000.000;;;
;;0x1f64af48a3fcbfb07f1ffc2a5f06dac4ffa35dbc;100.000;100.000.000.000.000.000.000.000;;;
;;0x84a87c98c45e2bde6e0031861887b51f26e115ec;100.000;100.000.000.000.000.000.000.000;;;
;;0x88338b77a02e1cbb7bc81be6a17d5120e493d3c6;99.900;99.900.000.000.000.000.000.000;;;
;;0xaa8afff8d3583326bb0d46c6cfa6b04a183737bc;99.900;99.900.000.000.000.000.000.000;;;
;;0x00f6adc1c09fb26c257166d8c10b2bd5277af743;97.592;97.592.100.000.000.000.000.000;;;
;;0x600f1f7852cbd599dc4c78539cb4841cc229adae;95.976;95.975.920.000.000.000.000.000;;;
;;0x4bf211e8dbed6af5766cff23e8215578f4f41a12;94.877;94.876.680.000.000.000.000.000;;;
;;0x78f956e340df2275094050b36c73e301f1541d7c;91.950;91.950.320.000.000.000.000.000;;;
;;0x5293325d7c66ebf580f57179355fa22fcb8f8b56;90.624;90.624.450.000.000.000.000.000;;;
;;0x2067d60df927ee9510aad13ffc7b4085df91c078;88.526;88.526.030.000.000.000.000.000;;;
;;0x6c0aadab80145cb311483172ec996568fcdfc079;87.005;87.005.440.000.000.000.000.000;;;
;;0x46da52de5b1d4585163a33af6ada0d29cbeedd20;82.812;82.811.920.000.000.000.000.000;;;
;;0xaf772e953a0d26b716ea11a7661f3ba7ffc91f61;81.829;81.828.840.000.000.000.000.000;;;
;;0x0e24adfc0dea83b3a7aa60d48b14a475a9f56aa4;81.355;81.354.850.000.000.000.000.000;;;
;;0xbbc5eb6bf0390c1bfe3b534bfa48472de70d38ef;76.686;76.686.000.000.000.000.000.000;;;
;;0xf6fbb750fa9bca1144fa048b29f3994d193c3925;75.133;75.133.430.000.000.000.000.000;;;
;;0xe1245f3f85e63e62b508793945e34daff7b402bd;68.296;68.296.110.000.000.000.000.000;;;
;;0x44f2191d6bb9c42af3e2d5b9a176905993cdc699;67.194;67.193.540.000.000.000.000.000;;;
;;0x65645e80a951ee723c07e4d57e44c75e78f8b1a2;67.167;67.167.000.000.000.000.000.000;;;
;;0xd45dd91df475bfd944335160f538c1a14888dc1c;65.695;65.694.850.000.000.000.000.000;;;
;;0x4956bdd70062c9493f873a18d975f1f0096ff3c8;65.425;65.424.530.000.000.000.000.000;;;
;;0xb666dd3efb62acd97625b135df9db6d6adf99485;61.654;61.654.420.000.000.000.000.000;;;
;;0x9e3edaf46a1416f566d50a1d175fb924062adffa;56.132;56.132.000.000.000.000.000.000;;;
;;0x6bcc69c619a8320d9867dd9e1e55237eef588e17;53.962;53.962.280.000.000.000.000.000;;;
;;0x96beec6177d2775ea0f7128228abff099561345b;53.785;53.784.620.000.000.000.000.000;;;
;;0xe1053d9b45ac5efe4181d1c78c285942f82a995e;48.109;48.108.660.000.000.000.000.000;;;
;;0x15296058e033c0f67463b96fbcb0f5315a9016a5;44.697;44.696.680.000.000.000.000.000;;;
;;0x4b0d289adf8a5921d2c3f4e0d7d571da0d3260a8;42.432;42.431.910.000.000.000.000.000;;;
;;0x7ef859ac9c6925471dcebe6b0fb9992890cbbf74;41.848;41.848.260.000.000.000.000.000;;;
;;0xe75f81a897525c47d6ca3c5987bce135db96b4af;41.380;41.379.600.000.000.000.000.000;;;
;;0x31d0e6c787f85352b63e1420a983f4573b6684e3;41.028;41.028.470.000.000.000.000.000;;;
;;0x14955e0c1bd247811101eb1ea987a4efdbf981b6;40.359;40.359.370.000.000.000.000.000;;;
